Comment,Category,Sentiment
I just tried a new face mask and my skin is glowing. #beauty #selfcare,Hygiene,Positive
Got the flu and it's making me feel miserable. @CVSHealth #health #sickness,Health,Negative
I tried a new skincare routine and my skin looks amazing! #beauty #selfcare,Hygiene,Positive
Saw a cop car drive by but didn't hear any sirens. @NYPD #police #safety,Crime,Neutral
Someone tried to steal my purse on the street but I was able to fight them off. #crime #safety #selfdefense,Crime,Negative
"Just got an A in my exam, feeling so proud of myself! #grades #education",Education,Positive
I started meditating and it's really helping me manage my stress. #mentalhealth #mindfulness #selfcare,Health,Positive
Feeling energized after a great workout this morning. #fitness #health #endorphins,Health,Positive
"I'm not sure what to major in, it's so confusing #collegeconfessions #studentlife",Education,Neutral
"My neighbor's house got broken into, hope they catch the culprit soon #safety #police",Crime,Neutral
"This professor is the worst. They don't even teach, just read off the slides #unhappy #collegelife",Education,Negative
Just got a fresh haircut and it's amazing how much better I feel. #selfcare #hygiene #haircut,Hygiene,Positive
Just got a mani-pedi and feeling like a million bucks! @NailBar #beauty #selfcare,Hygiene,Positive
Just got my nails done and I feel like a million bucks. #beauty #selfcare #pampering,Hygiene,Positive
The airline lost my luggage and I'm so frustrated right now. #airtravel #transportation #annoyed,Transport,Negative
"I started working out and eating better, feeling great! #fitness #healthyhabits",Health,Positive
"I saw a police car outside the bank, I hope everything is okay. #police #safety #crime",Crime,Neutral
I just bought a new skincare product and it's already making my skin look better. #beauty #selfcare #skincare,Hygiene,Positive
"I missed my flight due to traffic, not happy #travel #airport",Transport,Negative
"I took a bike ride around the city today, it was so fun and refreshing. #biking #exploring #adventure",Transport,Positive
Just got my degree and feeling proud! @University #education #accomplishment,Education,Positive
"Someone stole my wallet, now I have to deal with canceling my cards #theft #frustrated",Crime,Negative
"The train was on time today, I made it to work early #publictransport #happycustomer",Transport,Positive
Just got my grades back and I aced all my exams. #education #accomplishment #success,Education,Positive
My Uber driver was so friendly and got me to my destination quickly. #rideshare #happycustomer #goodservice,Transport,Positive
Just got accepted into my dream school and I'm over the moon! #education #accomplishment #success,Education,Positive
Just got a great grade on my paper! @University #education #success,Education,Positive
Got food poisoning and spent the whole night throwing up. #health #sickness #miserable,Health,Negative
I just finished my thesis and I feel like a weight has been lifted off my shoulders. #education #accomplishment #freedom,Education,Positive
